ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01897-00002,Learn on the Go,Ultimate French: Advanced (2),cass,del,mp3,,,12/17/2014,,,Lesson 6,Lesson 7,Lesson 8A,Lesson 8B,Lesson 9,Lesson 10,,,,,,,,,,,,,,,,,,,,,,
01897-00003,Learn at Home,Ultimate French: Advanced (4),cass,del,mp3,,,12/17/2014,,,Lesson 16,Lesson 17,Lesson 18,Lesson 18 (cont.),Lesson 19,Lesson 20,,,,,,,,,,,,,,,,,,,,,,
01897-00004,Learn at Home,Ultimate French: Advanced (2),cass,del,mp3,,,12/17/2014,,,Lesson 6 (cont.),Lesson 7,Lesson 8A,Lesson 9,Lesson 10,Lesson 11,,,,,,,,,,,,,,,,,,,,,,
01897-00005,Learn on the Go,Ultimate French: Advanced (4),cass,del,mp3,,,12/17/2014,,,Lesson 16,Lesson 17,Lesson 18A,Lesson 18B,Lesson 18C,Lesson 19,Lesson 20,,,,,,,,,,,,,,,,,,,,,
01897-00006,Learn on the Go,Ultimate French: Advanced (3),cass,del,mp3,,,12/17/2014,,,Lesson 11 (cont.),Lesson 12 ,Lesson 13A,Lesson 13B,Lesson 14,Lesson 15,,,,,,,,,,,,,,,,,,,,,,
01897-00007,Learn on the Go,Ultimate French: Advanced (1),cass,del,mp3,,,12/17/2014,,,Lesson 1,Lesson 2,Lesson 3A,Lesson 3B,Lesson 3C,Lesson 4,Lesson 5,,,,,,,,,,,,,,,,,,,,,
01897-00008,Learn at Home,Ultimate French: Advanced (1),cass,del,mp3,,,12/17/2014,,,Lesson 1,Lesson 2,Lesson 3,Lesson 3 (cont.),Lesson 4,Lesson 5,Lesson 6,,,,,,,,,,,,,,,,,,,,,
01897-00009,Practice and Improve Your French - plus,Tape 4,cass,del,mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01897-00010,Practice and Improve Your French - plus,Tape 3,cass,del,mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01897-00011,Practice and Improve Your French - plus,Tape 2,cass,del,mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01897-00012,Practice and Improve Your French - plus,Tape 1,cass,del,mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01896-00001,Joy Dennis,Buckeye,78,std,mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01896-00002,Joy Dennis with Your Sky Liners,Buckeye,78,std,mp3,,,12/17/2014,,Ambiguous Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01952-00001,"To Patsy Ann, My Wife (October 5, 1951)",Voice-O-Graph: Hootily,45,,CD/mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01952-00002,Rubinstein,"D Minor Concerto, 1st Movement (Parts 3 & 4)",LP,std,CD/mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01952-00003,Saint-Saens,Concerto,LP,std,CD/mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01952-00004,Rubinstein,"D Minor Concerto, 1st Movement (Parts 1 & 2)",LP,std,CD/mp3,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00001,The Earl Nightingale Library Success Series,1. As A Man Thinketh 1: Introduction to James Allen -- Thought and Character / Thought and Circumstances 1,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00002,The Earl Nightingale Library Success Series,2. The Strangest Secret: We Become What We Think About,cass,std,mp3,01883-00001,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00003,The Earl Nightingale Library Success Series,3. The Boss: The Customer Determines Your Success,cass,std,mp3,01883-00001,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00004,The Earl Nightingale Library Success Series,4. Think and Grow Rich: Earl Nightingale's Version of the Napoleon Hill Classic,cass,std,mp3,01883-00001,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00005,The Earl Nightingale Library Success Series,5. Twenty Minutes That Can Change Your Life: How to Grow as a Person,cass,std,mp3,01883-00001,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00006,The Earl Nightingale Library Success Series,"6. As A Man Thinketh 2: Thought and Circumstances 2, Thought, Purpose and Achievement 1",cass,std,mp3,01883-00001,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00007,Edward L. Fritsch & Nate Rosenblatt -- The Art & Skill of Conversation,1. Introduction and Listening / Conversation Cues and Roadblocks,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00008,Edward L. Fritsch & Nate Rosenblatt -- The Art & Skill of Conversation,2. Questions / Quick Starts,cass,std,mp3,01883-00007,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00009,Edward L. Fritsch & Nate Rosenblatt -- The Art & Skill of Conversation,3. Negotiating and Meetings / Persuasion and Motivation,cass,std,mp3,01883-00007,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00010,Edward L. Fritsch & Nate Rosenblatt -- The Art & Skill of Conversation,4. Six Steps to Meaningful Conversation,cass,std,mp3,01883-00007,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00011,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,1. Effectiveness: The Goose and the Golden Egg,cass,std,mp3,,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00012,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,2. Three-Person Teaching Paradign Shifting,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00013,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,3. Habit One: Be Proactive,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00014,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,4. Habit Two: Begin With the End in Mind,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00015,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,5. Habit Three: Put First Things First,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00016,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,6. Habit Four: Think Win-Win,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00017,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,"7. Habit Five: Seek First to Understand, Then to Be Understood",cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01883-00018,Stephen R. Covey -- Seven Basic Habits of Highly Effective People,8. Habit Six: Synergize,cass,std,mp3,01883-00011,,12/18/2014,What would the charge be to put the cassettes on flash drives?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
